timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200310233243	2020-03-10 23:32:43	Jamaica	1	0	0	1	0
20200311234701	2020-03-11 23:47:01	Jamaica	2	0	0	2	0
20200312233926	2020-03-12 23:39:26	Jamaica	2	0	0	2	0
20200313235940	2020-03-13 23:59:40	Jamaica	8	0	0	8	0
20200314235906	2020-03-14 23:59:06	Jamaica	8	0	0	8	0
20200315231920	2020-03-15 23:19:20	Jamaica	10	0	2	8	0
20200316232604	2020-03-16 23:26:04	Jamaica	15	0	2	13	0
20200317234753	2020-03-17 23:47:53	Jamaica	12	0	2	10	0
20200318234401	2020-03-18 23:44:01	Jamaica	13	0	2	11	0
20200319131523	2020-03-19 13:15:23	Jamaica	15	1	2	12	0
20200320120009	2020-03-20 12:00:09	Jamaica	15	1	2	12	0
20200321120003	2020-03-21 12:00:03	Jamaica	19	1	2	16	0
20200322120004	2020-03-22 12:00:04	Jamaica	19	1	2	16	0
20200323120003	2020-03-23 12:00:03	Jamaica	19	1	2	16	0
20200324120004	2020-03-24 12:00:04	Jamaica	19	1	2	16	0
20200325120004	2020-03-25 12:00:04	Jamaica	21	1	2	18	0
20200326120004	2020-03-26 12:00:04	Jamaica	26	1	2	23	0
20200327120003	2020-03-27 12:00:03	Jamaica	26	1	2	23	0
20200328000003	2020-03-28 00:00:03	Jamaica	26	1	2	23	0
20200330165358	2020-03-30 16:53:58	Jamaica	32	1	2	29	0
20200331120003	2020-03-31 12:00:03	Jamaica	36	1	2	33	0
20200401120003	2020-04-01 12:00:03	Jamaica	38	2	2	34	0
20200402120004	2020-04-02 12:00:04	Jamaica	44	3	2	39	0
