timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200309234747	2020-03-09 23:47:47	Saint Martin	2	0	0	2	0
20200310233243	2020-03-10 23:32:43	Saint Martin	2	0	0	2	0
20200311234701	2020-03-11 23:47:01	Saint Martin	2	0	0	2	0
20200312233926	2020-03-12 23:39:26	Saint Martin	2	0	0	2	0
20200313235940	2020-03-13 23:59:40	Saint Martin	2	0	0	2	0
20200314235906	2020-03-14 23:59:06	Saint Martin	2	0	0	2	0
20200315231920	2020-03-15 23:19:20	Saint Martin	2	0	0	2	0
20200316232604	2020-03-16 23:26:04	Saint Martin	2	0	0	2	0
20200317234753	2020-03-17 23:47:53	Saint Martin	2	0	0	2	0
20200318234401	2020-03-18 23:44:01	Saint Martin	2	0	0	2	0
20200319131523	2020-03-19 13:15:23	Saint Martin	3	0	0	3	0
